AAA041L13.genome.CDS.4,group01125
AAA041L13.genome.CDS.2889,group03723
AAA041L13.genome.CDS.2361,group00134
AAA041L13.genome.CDS.2088,group01116
AAA041L13.genome.CDS.2089,group01397
AAA041L13.genome.CDS.2084,group00976
AAA041L13.genome.CDS.2085,group00133
AAA041L13.genome.CDS.2086,group00739
AAA041L13.genome.CDS.2087,group01024
AAA041L13.genome.CDS.2080,group00461
AAA041L13.genome.CDS.2081,group00606
AAA041L13.genome.CDS.2082,group00183
AAA041L13.genome.CDS.2083,group00880
AAA041L13.genome.CDS.2868,group13163
AAA041L13.genome.CDS.2869,group02901
AAA041L13.genome.CDS.2648,group00685
AAA041L13.genome.CDS.2649,group00701
AAA041L13.genome.CDS.2862,group13162
AAA041L13.genome.CDS.2647,group00760
AAA041L13.genome.CDS.2644,group00798
AAA041L13.genome.CDS.2861,group00752
AAA041L13.genome.CDS.2866,group13164
AAA041L13.genome.CDS.2643,group00391
AAA041L13.genome.CDS.2864,group13160
AAA041L13.genome.CDS.2641,group00651
AAA041L13.genome.CDS.569,group01674
AAA041L13.genome.CDS.2260,group00138
AAA041L13.genome.CDS.2261,group02011
AAA041L13.genome.CDS.2262,group00779
AAA041L13.genome.CDS.2263,group00653
AAA041L13.genome.CDS.2264,group00814
AAA041L13.genome.CDS.2265,group00020
AAA041L13.genome.CDS.2266,group01817
AAA041L13.genome.CDS.2267,group00021
AAA041L13.genome.CDS.2268,group00839
AAA041L13.genome.CDS.2269,group01133
AAA041L13.genome.CDS.2453,group00734
AAA041L13.genome.CDS.2452,group00596
AAA041L13.genome.CDS.2450,group01234
AAA041L13.genome.CDS.2325,group12985
AAA041L13.genome.CDS.2456,group01028
AAA041L13.genome.CDS.2327,group12983
AAA041L13.genome.CDS.2326,group12984
AAA041L13.genome.CDS.2466,group00347
AAA041L13.genome.CDS.2467,group00346
AAA041L13.genome.CDS.2464,group03495
AAA041L13.genome.CDS.2465,group00658
AAA041L13.genome.CDS.2462,group00710
AAA041L13.genome.CDS.2463,group01924
AAA041L13.genome.CDS.2460,group00617
AAA041L13.genome.CDS.2461,group00551
AAA041L13.genome.CDS.1993,group03618
AAA041L13.genome.CDS.1992,group12910
AAA041L13.genome.CDS.1991,group00739
AAA041L13.genome.CDS.1990,group00417
AAA041L13.genome.CDS.1997,group01863
AAA041L13.genome.CDS.1996,group00936
AAA041L13.genome.CDS.1995,group00907
AAA041L13.genome.CDS.2469,group13008
AAA041L13.genome.CDS.2518,group00207
AAA041L13.genome.CDS.2512,group13012
AAA041L13.genome.CDS.2513,group13011
AAA041L13.genome.CDS.2511,group04453
AAA041L13.genome.CDS.2514,group13010
AAA041L13.genome.CDS.2515,group13009
AAA041L13.genome.CDS.1867,group00189
AAA041L13.genome.CDS.2751,group01794
AAA041L13.genome.CDS.2752,group00000
AAA041L13.genome.CDS.2754,group00885
AAA041L13.genome.CDS.2755,group02443
AAA041L13.genome.CDS.1861,group00276
AAA041L13.genome.CDS.1603,group00017
AAA041L13.genome.CDS.1602,group00747
AAA041L13.genome.CDS.1601,group00042
AAA041L13.genome.CDS.1600,group00746
AAA041L13.genome.CDS.1607,group01156
AAA041L13.genome.CDS.1606,group00924
AAA041L13.genome.CDS.1605,group00018
AAA041L13.genome.CDS.1604,group00702
AAA041L13.genome.CDS.1609,group01126
AAA041L13.genome.CDS.1608,group00937
AAA041L13.genome.CDS.2693,group01035
AAA041L13.genome.CDS.1987,group01038
AAA041L13.genome.CDS.2695,group13090
AAA041L13.genome.CDS.2877,group05305
AAA041L13.genome.CDS.2694,group01034
AAA041L13.genome.CDS.1982,group03642
AAA041L13.genome.CDS.1983,group01388
AAA041L13.genome.CDS.1517,group02828
AAA041L13.genome.CDS.1516,group01105
AAA041L13.genome.CDS.1515,group00430
AAA041L13.genome.CDS.1514,group00144
AAA041L13.genome.CDS.1513,group00727
AAA041L13.genome.CDS.1512,group00538
AAA041L13.genome.CDS.1511,group03501
AAA041L13.genome.CDS.1510,group00672
AAA041L13.genome.CDS.1519,group00038
AAA041L13.genome.CDS.1518,group01352
AAA041L13.genome.CDS.795,group03503
AAA041L13.genome.CDS.1779,group00446
AAA041L13.genome.CDS.1778,group13131
AAA041L13.genome.CDS.1773,group00218
AAA041L13.genome.CDS.1772,group00607
AAA041L13.genome.CDS.1771,group01101
AAA041L13.genome.CDS.1770,group00655
AAA041L13.genome.CDS.1777,group00882
AAA041L13.genome.CDS.1776,group00699
AAA041L13.genome.CDS.1775,group00249
AAA041L13.genome.CDS.1774,group00407
AAA041L13.genome.CDS.2071,group00838
AAA041L13.genome.CDS.2070,group00720
AAA041L13.genome.CDS.2073,group01048
AAA041L13.genome.CDS.2072,group00565
AAA041L13.genome.CDS.2075,group00268
AAA041L13.genome.CDS.2074,group00564
AAA041L13.genome.CDS.2077,group00326
AAA041L13.genome.CDS.2076,group00445
AAA041L13.genome.CDS.2079,group00492
AAA041L13.genome.CDS.2078,group00404
AAA041L13.genome.CDS.2673,group00292
AAA041L13.genome.CDS.2672,group00513
AAA041L13.genome.CDS.2671,group05301
AAA041L13.genome.CDS.2670,group02695
AAA041L13.genome.CDS.2677,group00204
AAA041L13.genome.CDS.2676,group00373
AAA041L13.genome.CDS.2675,group00156
AAA041L13.genome.CDS.2858,group00311
AAA041L13.genome.CDS.2857,group13158
AAA041L13.genome.CDS.2856,group00043
AAA041L13.genome.CDS.2855,group00504
AAA041L13.genome.CDS.2678,group00450
AAA041L13.genome.CDS.2853,group01645
AAA041L13.genome.CDS.2852,group04550
AAA041L13.genome.CDS.2851,group13155
AAA041L13.genome.CDS.2850,group13156
AAA041L13.genome.CDS.2215,group04551
AAA041L13.genome.CDS.2214,group12965
AAA041L13.genome.CDS.2216,group00616
AAA041L13.genome.CDS.2211,group12968
AAA041L13.genome.CDS.2210,group12969
AAA041L13.genome.CDS.2213,group12966
AAA041L13.genome.CDS.2212,group12967
AAA041L13.genome.CDS.2219,group12962
AAA041L13.genome.CDS.2218,group12963
AAA041L13.genome.CDS.2970,group12909
AAA041L13.genome.CDS.2971,group00738
AAA041L13.genome.CDS.2185,group12916
AAA041L13.genome.CDS.2184,group12917
AAA041L13.genome.CDS.2187,group12915
AAA041L13.genome.CDS.2186,group05292
AAA041L13.genome.CDS.2180,group12923
AAA041L13.genome.CDS.2183,group12918
AAA041L13.genome.CDS.2182,group12919
AAA041L13.genome.CDS.2189,group04548
AAA041L13.genome.CDS.2188,group12914
AAA041L13.genome.CDS.2329,group12981
AAA041L13.genome.CDS.2328,group12982
AAA041L13.genome.CDS.2459,group00550
AAA041L13.genome.CDS.2458,group00393
AAA041L13.genome.CDS.2321,group12989
AAA041L13.genome.CDS.2320,group12990
AAA041L13.genome.CDS.2323,group12987
AAA041L13.genome.CDS.2322,group12988
AAA041L13.genome.CDS.2457,group00374
AAA041L13.genome.CDS.2324,group12986
AAA041L13.genome.CDS.2455,group00521
AAA041L13.genome.CDS.2454,group00689
AAA041L13.genome.CDS.2871,group13165
AAA041L13.genome.CDS.2870,group13166
AAA041L13.genome.CDS.1391,group13185
AAA041L13.genome.CDS.2873,group03074
AAA041L13.genome.CDS.2650,group00324
AAA041L13.genome.CDS.2699,group13099
AAA041L13.genome.CDS.2698,group13100
AAA041L13.genome.CDS.1988,group00418
AAA041L13.genome.CDS.1989,group00528
AAA041L13.genome.CDS.2691,group00086
AAA041L13.genome.CDS.1985,group00015
AAA041L13.genome.CDS.1986,group01131
AAA041L13.genome.CDS.2692,group00084
AAA041L13.genome.CDS.1980,group03918
AAA041L13.genome.CDS.1981,group12906
AAA041L13.genome.CDS.2697,group00975
AAA041L13.genome.CDS.2696,group00849
AAA041L13.genome.CDS.67,group12905
AAA041L13.genome.CDS.2529,group02249
AAA041L13.genome.CDS.2528,group02654
AAA041L13.genome.CDS.2527,group02245
AAA041L13.genome.CDS.2526,group02090
AAA041L13.genome.CDS.2525,group02089
AAA041L13.genome.CDS.2523,group01228
AAA041L13.genome.CDS.2522,group01169
AAA041L13.genome.CDS.2521,group02244
AAA041L13.genome.CDS.2520,group02430
